date,wau,retained,new,resurrected,churned
01-09-2023,55,36,6,13,-21
01-16-2023,52,43,2,7,-12
01-23-2023,48,37,1,10,-15
01-30-2023,66,41,3,22,-7
02-06-2023,53,41,3,9,-25
02-13-2023,59,42,0,17,-11
02-20-2023,51,42,5,4,-17
02-27-2023,58,41,2,15,-10
03-06-2023,43,31,1,11,-27
03-13-2023,54,27,4,23,-16
03-20-2023,63,39,4,20,-15
03-27-2023,59,43,5,11,-20
04-03-2023,53,36,2,15,-23
04-10-2023,47,31,4,12,-22
04-17-2023,43,32,1,10,-15
04-24-2023,43,28,2,13,-15
